t 13924 83916
v 0 0 2
v 1 1 3
v 2 2 2
v 3 0 2
v 4 3 3
v 5 4 3
v 6 5 6
v 7 0 2
v 8 6 9
v 9 4 36
v 10 0 3
v 11 7 2
v 12 0 10
v 13 3 5
v 14 2 18
v 15 0 27
v 16 4 161
v 17 0 2
v 18 0 7
v 19 6 2
v 20 3 2
v 21 4 6
v 22 2 4
v 23 3 14
v 24 0 3
v 25 0 4
v 26 0 21
v 27 0 2
v 28 6 2
v 29 4 73
v 30 3 3
v 31 8 2
v 32 6 4
v 33 0 6
v 34 3 4
v 35 3 2
v 36 5 2
v 37 0 30
v 38 0 3
v 39 0 3
v 40 3 3
v 41 3 4
v 42 3 3
v 43 0 20
v 44 0 3
v 45 0 7
v 46 9 9
v 47 0 4
v 48 0 3
v 49 6 4
v 50 10 4
v 51 0 10
v 52 0 6
v 53 6 3
v 54 9 47
v 55 7 2
v 56 7 3
v 57 0 5
v 58 3 2
v 59 6 2
v 60 0 2
v 61 3 4
v 62 2 2
v 63 6 11
v 64 0 3
v 65 0 3
v 66 2 3
v 67 0 23
v 68 4 16
v 69 2 7
v 70 0 2
v 71 0 7
v 72 0 2
v 73 3 2
v 74 0 3
v 75 0 18
v 76 0 2
v 77 0 6
v 78 0 17
v 79 5 3
v 80 0 9
v 81 6 5
v 82 0 5
v 83 7 3
v 84 0 5
v 85 0 16
v 86 3 4
v 87 0 3
v 88 9 5
v 89 0 135
v 90 6 180
v 91 3 4
v 92 4 154
v 93 2 2
v 94 2 2
v 95 3 3
v 96 3 3
v 97 0 2
v 98 11 4
v 99 0 2
v 100 3 3
v 101 6 2
v 102 7 12
v 103 0 6
v 104 0 5
v 105 2 4
v 106 7 6
v 107 0 6
v 108 6 21
v 109 2 3
v 110 9 5
v 111 2 2
v 112 8 4
v 113 0 6
v 114 7 4
v 115 6 4
v 116 0 4
v 117 2 12
v 118 4 87
v 119 9 4
v 120 3 4
v 121 0 4
v 122 6 4
v 123 9 7
v 124 6 3
v 125 2 109
v 126 3 14
v 127 0 5
v 128 9 4
v 129 6 4
v 130 9 3
v 131 0 8
v 132 7 4
v 133 6 2
v 134 6 4
v 135 0 3
v 136 9 10
v 137 12 2
v 138 6 11
v 139 0 2
v 140 6 3
v 141 9 4
v 142 0 3
v 143 6 3
v 144 12 3
v 145 4 20
v 146 12 2
v 147 7 4
v 148 2 3
v 149 0 2
v 150 4 10
v 151 0 3
v 152 4 3
v 153 3 2
v 154 2 2
v 155 2 4
v 156 0 4
v 157 7 3
v 158 7 4
v 159 10 8
v 160 3 2
v 161 6 18
v 162 2 4
v 163 0 12
v 164 0 14
v 165 6 4
v 166 13 2
v 167 2 2
v 168 0 2
v 169 2 5
v 170 9 5
v 171 0 122
v 172 9 4
v 173 0 2
v 174 2 8
v 175 9 2
v 176 0 3
v 177 9 3
v 178 1 4
v 179 6 9
v 180 0 2
v 181 6 5
v 182 0 3
v 183 9 3
v 184 0 35
v 185 2 2
v 186 0 4
v 187 0 3
v 188 0 2
v 189 12 4
v 190 2 2
v 191 2 3
v 192 4 18
v 193 12 17
v 194 2 10
v 195 4 3
v 196 7 2
v 197 6 4
v 198 0 16
v 199 0 2
v 200 2 2
v 201 4 3
v 202 6 13
v 203 0 6
v 204 0 3
v 205 9 3
v 206 0 10
v 207 0 2
v 208 7 8
v 209 12 6
v 210 4 7
v 211 3 4
v 212 12 6
v 213 9 2
v 214 4 15
v 215 9 7
v 216 2 6
v 217 1 2
v 218 12 19
v 219 2 9
v 220 4 69
v 221 0 23
v 222 0 3
v 223 1 5
v 224 2 42
v 225 0 2
v 226 3 3
v 227 7 20
v 228 3 14
v 229 0 2
v 230 0 5
v 231 2 3
v 232 0 11
v 233 3 10
v 234 4 2
v 235 10 6
v 236 0 17
v 237 0 2
v 238 3 3
v 239 6 5
v 240 9 97
v 241 0 52
v 242 0 2
v 243 9 4
v 244 4 2
v 245 0 48
v 246 3 7
v 247 4 5873
v 248 6 3
v 249 2 7
v 250 7 4
v 251 7 3
v 252 9 3
v 253 7 3
v 254 9 46
v 255 6 3
v 256 8 4
v 257 2 7
v 258 6 31
v 259 3 5
v 260 0 6
v 261 0 3
v 262 0 9
v 263 0 4
v 264 0 10
v 265 2 10
v 266 0 121
v 267 8 32
v 268 12 3
v 269 6 3
v 270 6 2
v 271 0 3
v 272 0 3
v 273 7 3
v 274 0 2
v 275 9 2
v 276 11 4
v 277 2 6
v 278 9 2
v 279 6 21
v 280 0 2
v 281 6 18
v 282 0 4
v 283 6 3
v 284 6 78
v 285 6 6
v 286 7 2
v 287 0 5
v 288 9 4
v 289 3 3
v 290 6 3
v 291 3 3
v 292 0 6
v 293 6 4
v 294 0 16
v 295 9 2
v 296 0 4
v 297 0 3
v 298 0 4
v 299 5 3
v 300 0 5
v 301 4 4
v 302 13 2
v 303 6 15
v 304 6 4
v 305 0 12
v 306 0 3
v 307 0 10
v 308 3 3
v 309 9 23
v 310 3 3
v 311 9 10
v 312 6 4
v 313 9 2
v 314 3 4
v 315 6 4
v 316 7 7
v 317 3 3
v 318 6 78
v 319 0 2
v 320 6 4
v 321 12 5
v 322 0 12
v 323 9 20
v 324 0 5
v 325 3 3
v 326 3 12
v 327 11 3
